country,lead_time_group,n_obs,variable,rmse
Algeria,13-18h,1012,dew_point_2m,1.8751548025688007
Algeria,13-18h,1012,apparent_temperature,1.6359897464815865
Algeria,13-18h,1012,precipitation,0.3482593645262639
Algeria,13-18h,1012,rain,0.35725125401882596
Algeria,13-18h,1012,showers,0.27404162864289255
Algeria,13-18h,1012,snowfall,0
Algeria,13-18h,1012,snow_depth,0
Algeria,13-18h,1012,weather_code,24.58380841862457
Algeria,13-18h,1012,pressure_msl,0.5110440371485985
Algeria,13-18h,1012,surface_pressure,0.4887266669015613
Algeria,13-18h,1012,cloud_cover,35.331155002829895
Algeria,13-18h,1012,wind_speed_10m,3.6775518149685746
Algeria,13-18h,1012,wind_gusts_10m,10.569581232519576
Algeria,19-24h,364,temperature_2m,2.007732305609742
Algeria,19-24h,364,relative_humidity_2m,10.54269185968895
Algeria,19-24h,364,dew_point_2m,1.520157597382298
Algeria,19-24h,364,apparent_temperature,2.172556098240043
Algeria,19-24h,364,precipitation,0.40382783841251346
Algeria,19-24h,364,rain,0.46722232748093634
Algeria,19-24h,364,showers,0.3361056871982873
Algeria,19-24h,364,snowfall,0
Algeria,19-24h,364,snow_depth,0
Algeria,19-24h,364,weather_code,20.88982085573295
Algeria,19-24h,364,pressure_msl,0.5825766940031248
Algeria,19-24h,364,surface_pressure,0.5573189352645417
Algeria,19-24h,364,cloud_cover,38.6021550386293
Algeria,19-24h,364,wind_speed_10m,3.4456374711245497
Algeria,19-24h,364,wind_gusts_10m,11.926846621369386
Algeria,7-12h,1478,temperature_2m,1.427920884160197
Algeria,7-12h,1478,relative_humidity_2m,11.233768925701147
Algeria,7-12h,1478,dew_point_2m,2.155858682206574
Algeria,7-12h,1478,apparent_temperature,1.5101595503086296
Algeria,7-12h,1478,precipitation,0.3997631233665618
Algeria,7-12h,1478,rain,0.4230983084576874
Algeria,7-12h,1478,showers,0.23511146695653098
Algeria,7-12h,1478,snowfall,0
Algeria,7-12h,1478,snow_depth,0
Algeria,7-12h,1478,weather_code,22.496759652401412
Algeria,7-12h,1478,pressure_msl,0.5095833953402458
Algeria,7-12h,1478,surface_pressure,0.4794279405739486
Algeria,7-12h,1478,cloud_cover,32.66840412195716
Algeria,7-12h,1478,wind_speed_10m,3.594841063710933
Algeria,7-12h,1478,wind_gusts_10m,10.008767469158801
Angola,0h,372,temperature_2m,1.0729068143403995
Angola,0h,372,relative_humidity_2m,6.786688425509619
Angola,0h,372,dew_point_2m,0.7772642954273895
Angola,0h,372,apparent_temperature,1.2157125438389258
Angola,0h,372,precipitation,0.49719644113294775
Angola,0h,372,rain,0.4965472180819728
Angola,0h,372,showers,0.17164604740977246
Angola,0h,372,snowfall,0
Angola,0h,372,snow_depth,0
Angola,0h,372,weather_code,19.182205015255985
Angola,0h,372,pressure_msl,0.44871381304959007
Angola,0h,372,surface_pressure,0.43865630605145606
Angola,0h,372,cloud_cover,35.08116548866373
Angola,0h,372,wind_speed_10m,4.123737995285763
Angola,0h,372,wind_gusts_10m,10.136196185861813
Angola,1-6h,2130,temperature_2m,1.0766100509831469
Angola,1-6h,2130,relative_humidity_2m,7.018018392653613
Angola,1-6h,2130,dew_point_2m,0.8623474894079897
Angola,1-6h,2130,apparent_temperature,1.2030946013170825
Angola,1-6h,2130,precipitation,0.328218981063735
Angola,1-6h,2130,rain,0.34726293970963074
Angola,1-6h,2130,showers,0.1644452903586076
Angola,1-6h,2130,snowfall,0
Angola,1-6h,2130,snow_depth,0
Angola,1-6h,2130,weather_code,17.293191148365207
Angola,1-6h,2130,pressure_msl,0.4790346317373684
Angola,1-6h,2130,surface_pressure,0.46981166938980917
Angola,1-6h,2130,cloud_cover,34.28887225563682
Angola,1-6h,2130,wind_speed_10m,4.316707361093007
Angola,1-6h,2130,wind_gusts_10m,11.596547972678296
Angola,13-18h,1012,temperature_2m,0.9211609790949216
Angola,13-18h,1012,relative_humidity_2m,7.149449244936903
Angola,13-18h,1012,dew_point_2m,0.9621492739156657
Angola,13-18h,1012,apparent_temperature,1.0155802095626598
Angola,13-18h,1012,precipitation,0.12526651429948502
Angola,13-18h,1012,rain,0.1249505831172623
Angola,13-18h,1012,showers,0.013336626734231614
Angola,13-18h,1012,snowfall,0
Angola,13-18h,1012,snow_depth,0
Angola,13-18h,1012,weather_code,10.58711275663668
Angola,13-18h,1012,pressure_msl,0.5071621424506947
Angola,13-18h,1012,surface_pressure,0.49720563023278624
Angola,13-18h,1012,cloud_cover,37.292376484658604
Angola,13-18h,1012,wind_speed_10m,3.9854403994873158
Angola,13-18h,1012,wind_gusts_10m,11.976119189037805
Angola,19-24h,364,temperature_2m,0.5273820893165296
Angola,19-24h,364,relative_humidity_2m,4.761336962485397
Angola,19-24h,364,dew_point_2m,0.8357401141871427
Angola,19-24h,364,apparent_temperature,0.7359303000919358
Angola,19-24h,364,precipitation,0.2024574300662018
Angola,19-24h,364,rain,0.19848325973644326
Angola,19-24h,364,showers,0.03991749733395862
Angola,19-24h,364,snowfall,0
Angola,19-24h,364,snow_depth,0
Angola,19-24h,364,weather_code,11.649411625004552
Angola,19-24h,364,pressure_msl,0.45319379451248304
Angola,19-24h,364,surface_pressure,0.4481954047947412
Angola,19-24h,364,cloud_cover,32.32875425450773
Angola,19-24h,364,wind_speed_10m,4.349548416625734
Angola,19-24h,364,wind_gusts_10m,8.166730955865665
Angola,7-12h,1478,temperature_2m,1.3037989667131067
Angola,7-12h,1478,relative_humidity_2m,8.405407757329945
Angola,7-12h,1478,dew_point_2m,0.9942867919407737
Angola,7-12h,1478,apparent_temperature,1.3366186408504905
Angola,7-12h,1478,precipitation,0.3122800172947731
Angola,7-12h,1478,rain,0.36268805490276007
Angola,7-12h,1478,showers,0.16196693559901118
Angola,7-12h,1478,snowfall,0
Angola,7-12h,1478,snow_depth,0
Angola,7-12h,1478,weather_code,17.436527071620382
Angola,7-12h,1478,pressure_msl,0.4875722076220788
Angola,7-12h,1478,surface_pressure,0.47873593140293813
Angola,7-12h,1478,cloud_cover,38.43314846870943
Angola,7-12h,1478,wind_speed_10m,4.1180171141750614
Angola,7-12h,1478,wind_gusts_10m,14.677063195083555
Argentina,0h,372,temperature_2m,1.988434300584743
Argentina,0h,372,relative_humidity_2m,10.788534335964249
Argentina,0h,372,dew_point_2m,1.9688842973481417
Argentina,0h,372,apparent_temperature,1.8517210825990875
