country,city,lead_time_group,n_obs,variable,rmse
Angola,luanda,7-12h,1478,dew_point_2m,0.9942867919407737
Angola,luanda,7-12h,1478,apparent_temperature,1.3366186408504905
Angola,luanda,7-12h,1478,precipitation,0.3122800172947731
Angola,luanda,7-12h,1478,rain,0.36268805490276007
Angola,luanda,7-12h,1478,showers,0.16196693559901118
Angola,luanda,7-12h,1478,snowfall,0
Angola,luanda,7-12h,1478,snow_depth,0
Angola,luanda,7-12h,1478,weather_code,17.436527071620382
Angola,luanda,7-12h,1478,pressure_msl,0.4875722076220788
Angola,luanda,7-12h,1478,surface_pressure,0.47873593140293813
Angola,luanda,7-12h,1478,cloud_cover,38.43314846870943
Angola,luanda,7-12h,1478,wind_speed_10m,4.1180171141750614
Angola,luanda,7-12h,1478,wind_gusts_10m,14.677063195083555
Argentina,buenos_aires,0h,372,temperature_2m,1.988434300584743
Argentina,buenos_aires,0h,372,relative_humidity_2m,10.788534335964249
Argentina,buenos_aires,0h,372,dew_point_2m,1.9688842973481417
Argentina,buenos_aires,0h,372,apparent_temperature,1.8517210825990875
Argentina,buenos_aires,0h,372,precipitation,0.6194864331526682
Argentina,buenos_aires,0h,372,rain,0.32791291789197646
Argentina,buenos_aires,0h,372,showers,0.5294549845314154
Argentina,buenos_aires,0h,372,snowfall,0
Argentina,buenos_aires,0h,372,snow_depth,0
Argentina,buenos_aires,0h,372,weather_code,17.739755486792447
Argentina,buenos_aires,0h,372,pressure_msl,0.6811991324601864
Argentina,buenos_aires,0h,372,surface_pressure,0.6727411427594442
Argentina,buenos_aires,0h,372,cloud_cover,31.30177431502593
Argentina,buenos_aires,0h,372,wind_speed_10m,3.9584807556022197
Argentina,buenos_aires,0h,372,wind_gusts_10m,10.555742971360157
Argentina,buenos_aires,1-6h,2116,temperature_2m,1.8424063741848733
Argentina,buenos_aires,1-6h,2116,relative_humidity_2m,10.452928063656124
Argentina,buenos_aires,1-6h,2116,dew_point_2m,1.9162201885389067
Argentina,buenos_aires,1-6h,2116,apparent_temperature,1.8070775579833611
Argentina,buenos_aires,1-6h,2116,precipitation,0.6648265404769091
Argentina,buenos_aires,1-6h,2116,rain,0.589519364639911
Argentina,buenos_aires,1-6h,2116,showers,0.33409019304500226
Argentina,buenos_aires,1-6h,2116,snowfall,0
Argentina,buenos_aires,1-6h,2116,snow_depth,0
Argentina,buenos_aires,1-6h,2116,weather_code,16.834061698542076
Argentina,buenos_aires,1-6h,2116,pressure_msl,0.6580747540002947
Argentina,buenos_aires,1-6h,2116,surface_pressure,0.6529777654658815
Argentina,buenos_aires,1-6h,2116,cloud_cover,31.53401560040488
Argentina,buenos_aires,1-6h,2116,wind_speed_10m,4.091554998559617
Argentina,buenos_aires,1-6h,2116,wind_gusts_10m,10.43634861437448
Argentina,buenos_aires,13-18h,980,temperature_2m,1.610894034949765
Argentina,buenos_aires,13-18h,980,relative_humidity_2m,10.15783602215852
Argentina,buenos_aires,13-18h,980,dew_point_2m,2.4453287413068256
Argentina,buenos_aires,13-18h,980,apparent_temperature,1.7350586651259292
Argentina,buenos_aires,13-18h,980,precipitation,0.776819785788079
Argentina,buenos_aires,13-18h,980,rain,0.7115375705370127
Argentina,buenos_aires,13-18h,980,showers,0.35916569992135944
Argentina,buenos_aires,13-18h,980,snowfall,0
Argentina,buenos_aires,13-18h,980,snow_depth,0
Argentina,buenos_aires,13-18h,980,weather_code,21.770556787945107
Argentina,buenos_aires,13-18h,980,pressure_msl,0.7006119773863024
Argentina,buenos_aires,13-18h,980,surface_pressure,0.693674039783373
Argentina,buenos_aires,13-18h,980,cloud_cover,34.9395980257942
Argentina,buenos_aires,13-18h,980,wind_speed_10m,3.8126320652937546
Argentina,buenos_aires,13-18h,980,wind_gusts_10m,10.35038597328227
Argentina,buenos_aires,19-24h,360,temperature_2m,1.5161537594262076
Argentina,buenos_aires,19-24h,360,relative_humidity_2m,9.618558450551031
Argentina,buenos_aires,19-24h,360,dew_point_2m,1.999249859322241
Argentina,buenos_aires,19-24h,360,apparent_temperature,1.3618206767249337
Argentina,buenos_aires,19-24h,360,precipitation,0.664245603841096
Argentina,buenos_aires,19-24h,360,rain,0.6926198251726716
Argentina,buenos_aires,19-24h,360,showers,0.38056974831603907
Argentina,buenos_aires,19-24h,360,snowfall,0
Argentina,buenos_aires,19-24h,360,snow_depth,0
Argentina,buenos_aires,19-24h,360,weather_code,22.237730699571543
Argentina,buenos_aires,19-24h,360,pressure_msl,0.6749074010558777
Argentina,buenos_aires,19-24h,360,surface_pressure,0.6714826050530908
Argentina,buenos_aires,19-24h,360,cloud_cover,31.620580499274695
Argentina,buenos_aires,19-24h,360,wind_speed_10m,4.090110022970042
Argentina,buenos_aires,19-24h,360,wind_gusts_10m,11.075174942184887
Argentina,buenos_aires,7-12h,1478,temperature_2m,1.603451115681077
Argentina,buenos_aires,7-12h,1478,relative_humidity_2m,10.246224427578078
Argentina,buenos_aires,7-12h,1478,dew_point_2m,2.1100635215444674
Argentina,buenos_aires,7-12h,1478,apparent_temperature,1.6590914904695004
Argentina,buenos_aires,7-12h,1478,precipitation,0.77165621574049
Argentina,buenos_aires,7-12h,1478,rain,0.7447152555896676
Argentina,buenos_aires,7-12h,1478,showers,0.23703171196344036
Argentina,buenos_aires,7-12h,1478,snowfall,0
Argentina,buenos_aires,7-12h,1478,snow_depth,0
Argentina,buenos_aires,7-12h,1478,weather_code,18.844711177875272
Argentina,buenos_aires,7-12h,1478,pressure_msl,0.6900118647368849
Argentina,buenos_aires,7-12h,1478,surface_pressure,0.6850619520990782
Argentina,buenos_aires,7-12h,1478,cloud_cover,33.544912635670656
Argentina,buenos_aires,7-12h,1478,wind_speed_10m,3.792239779335999
Argentina,buenos_aires,7-12h,1478,wind_gusts_10m,9.987237458041225
Aruba,oranjestad,0h,372,temperature_2m,1.0333420048196682
Aruba,oranjestad,0h,372,relative_humidity_2m,10.557064596905041
Aruba,oranjestad,0h,372,dew_point_2m,1.886311756579689
Aruba,oranjestad,0h,372,apparent_temperature,1.0729068143403995
Aruba,oranjestad,0h,372,precipitation,0.3353701213280186
Aruba,oranjestad,0h,372,rain,0.3278309294126622
Aruba,oranjestad,0h,372,showers,0.14535828926505884
Aruba,oranjestad,0h,372,snowfall,0
Aruba,oranjestad,0h,372,snow_depth,0
Aruba,oranjestad,0h,372,weather_code,27.507086086065833
Aruba,oranjestad,0h,372,pressure_msl,0.4262867932595694
Aruba,oranjestad,0h,372,surface_pressure,0.4262867932595733
Aruba,oranjestad,0h,372,cloud_cover,34.251520647508
Aruba,oranjestad,0h,372,wind_speed_10m,2.3100644686809857
Aruba,oranjestad,0h,372,wind_gusts_10m,13.897655871033699
Aruba,oranjestad,1-6h,2112,temperature_2m,1.0387337498273093
Aruba,oranjestad,1-6h,2112,relative_humidity_2m,10.14889156509222
Aruba,oranjestad,1-6h,2112,dew_point_2m,1.8773520601037403
Aruba,oranjestad,1-6h,2112,apparent_temperature,1.164914810255031
Aruba,oranjestad,1-6h,2112,precipitation,0.28075925198603446
Aruba,oranjestad,1-6h,2112,rain,0.2804724099216761
Aruba,oranjestad,1-6h,2112,showers,0.1772848674941667
Aruba,oranjestad,1-6h,2112,snowfall,0
Aruba,oranjestad,1-6h,2112,snow_depth,0
Aruba,oranjestad,1-6h,2112,weather_code,28.19859898733419
Aruba,oranjestad,1-6h,2112,pressure_msl,0.36630060928646646
Aruba,oranjestad,1-6h,2112,surface_pressure,0.3663006092864653
Aruba,oranjestad,1-6h,2112,cloud_cover,36.06750037545343
Aruba,oranjestad,1-6h,2112,wind_speed_10m,2.318751786734589
Aruba,oranjestad,1-6h,2112,wind_gusts_10m,13.492827780534054
Aruba,oranjestad,13-18h,978,temperature_2m,1.3499678099623562
Aruba,oranjestad,13-18h,978,relative_humidity_2m,13.091544907200973
Aruba,oranjestad,13-18h,978,dew_point_2m,1.9864160366742527
Aruba,oranjestad,13-18h,978,apparent_temperature,0.8256744160435114
Aruba,oranjestad,13-18h,978,precipitation,0.3290004692906319
Aruba,oranjestad,13-18h,978,rain,0.3502847220520294
Aruba,oranjestad,13-18h,978,showers,0.16323668940809893
Aruba,oranjestad,13-18h,978,snowfall,0
Aruba,oranjestad,13-18h,978,snow_depth,0
Aruba,oranjestad,13-18h,978,weather_code,32.09880579294708
Aruba,oranjestad,13-18h,978,pressure_msl,0.3985915900062629
Aruba,oranjestad,13-18h,978,surface_pressure,0.3985915900062639
Aruba,oranjestad,13-18h,978,cloud_cover,38.65277234320911
Aruba,oranjestad,13-18h,978,wind_speed_10m,3.03576162943612
Aruba,oranjestad,13-18h,978,wind_gusts_10m,18.01221523718033
