city_in_cities_and_countries.csv,normalized,city_in_Forecast_Data_2026_01.csv,city_in_Forecast_Data_2026_02.csv
edinburgh,edinburgh,edinburgh,edinburgh
glasgow,glasgow,glasgow,glasgow
london,london,london,london
manchester,manchester,manchester,manchester
kiev,kiev,,
montevideo,montevideo,montevideo,montevideo
atlanta,atlanta,atlanta,atlanta
boston,boston,boston,boston
chicago,chicago,chicago,chicago
cleveland,cleveland,cleveland,cleveland
dallas,dallas,dallas,dallas
denver,denver,denver,denver
houston,houston,houston,houston
los_angeles,los_angeles,los_angeles,los_angeles
miami,miami,miami,miami
minneapolis,minneapolis,minneapolis,minneapolis
new_orleans,new_orleans,new_orleans,new_orleans
new_york,new_york,new_york,new_york
philadelphia,philadelphia,philadelphia,philadelphia
pittsburgh,pittsburgh,pittsburgh,pittsburgh
portland,portland,portland,portland
saint_louis,saint_louis,saint_louis,saint_louis
san_francisco,san_francisco,san_francisco,san_francisco
santa_fe,santa_fe,santa_fe,santa_fe
seattle,seattle,seattle,seattle
washington,washington,washington,washington
caracas,caracas,caracas,caracas
hanoi,hanoi,hanoi,hanoi
ho_chi_minh,ho_chi_minh,,
