"date_and_time","city","previous_lo","previous_hi","previous_precip","today_lo","today_hi","today_outlook","tomorrow_lo","tomorrow_hi","tomorrow_outlook","email_period"
2025-06-11 20:50:00,"NEW ORLEANS",72,93,0.41,76,91,"SHWRS",77,90,"SHWRS","afternoon"
2025-06-11 20:50:00,"NEW YORK CITY",65,81,0,69,90,"SHWRS",68,83,"PTCLDY","afternoon"
2025-06-11 20:50:00,"NEWARK",65,86,0,68,91,"SUNNY",68,83,"PTCLDY","afternoon"
2025-06-11 20:50:00,"NORFOLK VA",72,82,0,70,90,"PTCLDY",72,88,"SHWRS","afternoon"
2025-06-11 20:50:00,"NORTH PLATTE",63,92,0,60,89,"PTCLDY",59,88,"TSTRMS","afternoon"
2025-06-11 20:50:00,"OKLAHOMA CITY",65,79,0,68,81,"TSTRMS",66,88,"TSTRMS","afternoon"
2025-06-11 20:50:00,"OMAHA",63,95,0,67,89,"SUNNY",67,88,"PTCLDY","afternoon"
2025-06-11 20:50:00,"ORLANDO",75,91,0.13,75,91,"SHWRS",75,91,"SHWRS","afternoon"
2025-06-11 20:50:00,"PADUCAH",60,85,0,65,88,"TSTRMS",70,83,"SHWRS","afternoon"
2025-06-11 20:50:00,"PENDLETON",62,90,0,53,83,"PTCLDY",52,79,"SUNNY","afternoon"
2025-06-11 20:50:00,"PEORIA",59,87,0,64,89,"TSTRMS",67,81,"SHWRS","afternoon"
2025-06-11 20:50:00,"PHILADELPHIA",67,85,0,67,92,"PTCLDY",69,88,"SHWRS","afternoon"
2025-06-11 20:50:00,"PHOENIX",84,108,0,83,108,"VRYHOT",82,108,"VRYHOT","afternoon"
2025-06-11 20:50:00,"PITTSBURGH",57,81,0,63,86,"PTCLDY",64,84,"SHWRS","afternoon"
2025-06-11 20:50:00,"POCATELLO",53,78,0.17,49,85,"SUNNY",51,85,"SUNNY","afternoon"
2025-06-11 20:50:00,"PORTLAND ME",56,79,0,62,85,"PTCLDY",54,74,"PTCLDY","afternoon"
2025-06-11 20:50:00,"PORTLAND OR",52,73,0,51,74,"PTCLDY",51,71,"PTCLDY","afternoon"
2025-06-11 20:50:00,"PROVIDENCE",60,81,0,64,86,"SUNNY",62,78,"PTCLDY","afternoon"
2025-06-11 20:50:00,"PUEBLO",53,92,0,56,93,"SUNNY",56,95,"SUNNY","afternoon"
2025-06-11 20:50:00,"RALEIGH DURHAM",73,91,0.02,69,90,"MOCLDY",72,87,"TSTRMS","afternoon"
2025-06-11 20:50:00,"RAPID CITY",56,84,0.03,54,70,"TSTRMS",55,81,"TSTRMS","afternoon"
2025-06-11 20:50:00,"RENO",61,90,0,55,88,"SUNNY",55,86,"SUNNY","afternoon"
2025-06-11 20:50:00,"RICHMOND",66,86,0,66,93,"PTCLDY",70,90,"SHWRS","afternoon"
2025-06-11 20:50:00,"ROANOKE",57,85,0,63,90,"PTCLDY",67,88,"SHWRS","afternoon"
2025-06-11 20:50:00,"ROCHESTER NY",58,80,0,62,73,"SHWRS",54,70,"MOCLDY","afternoon"
2025-06-11 20:50:00,"ROCKFORD",60,91,0,65,85,"TSTRMS",60,83,"SHWRS","afternoon"
2025-06-11 20:50:00,"SACRAMENTO",53,81,0,52,89,"SUNNY",56,86,"SUNNY","afternoon"
2025-06-11 20:50:00,"ST LOUIS",64,88,0,70,87,"TSTRMS",70,82,"SHWRS","afternoon"
2025-06-11 20:50:00,"ST PETERSBURG",77,89,0.43,77,89,"SHWRS",77,89,"SHWRS","afternoon"
2025-06-11 20:50:00,"ST THOMAS VI",78,90,0,79,90,"PTCLDY",79,90,"SUNNY","afternoon"
2025-06-11 20:50:00,"CONCORD NH",50,80,0,61,85,"SUNNY",52,75,"PTCLDY","afternoon"
