lead_time_group,lead_time_range,num_forecasts,num_cities,date_range,avg_temp,forecasts_per_city
0h,0-0h,5021,185,2026-01-22 to 2026-01-28,8.766620195180243,27.14054054054054
1-6h,1-6h,27043,185,2026-01-22 to 2026-01-28,8.88644381170728,146.17837837837837
7-12h,7-12h,18527,185,2026-01-22 to 2026-01-28,9.233842500134937,100.14594594594594
13-18h,13-18h,11446,185,2026-01-22 to 2026-01-28,9.189865455180849,61.87027027027027
19-24h,19-24h,2973,185,2026-01-23 to 2026-01-28,8.820383451059536,16.07027027027027
